City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,RoadWidth,RoadType
17,18000000,6,3,3.0,2,4,2070.0,639,13.0,2
20,35200000,4,4,,1,0,2020.0,209,20.0,1
17,35000,3,2,3.0,1,0,,542,0.0,6
20,37100000,4,4,,1,7,2020.0,380,20.0,1
17,55000000,4,5,3.0,4,0,,786,14.0,4
20,34500000,4,4,,1,7,2020.0,193,20.0,1
17,1650000,0,0,,0,7,,433,28.0,6
17,45000000,5,6,3.0,3,2,2075.0,559,13.0,4
17,22500000,6,5,3.0,1,0,2076.0,274,14.0,3
20,30000,3,2,4.0,1,2,2018.0,687,10.0,1
22,700000,4,2,1.0,1,1,,183,13.12336,4
20,35000,2,2,0.0,2,0,2074.0,890,10.0,5
20,35000,2,2,0.0,2,0,2074.0,158,10.0,5
20,700000,0,0,,0,0,,240,0.0,4
17,23500000,6,5,3.0,1,0,2076.0,200,13.0,4
17,102500000,6,6,3.0,4,0,2076.0,155,13.0,1
20,28200000,4,4,2.0,1,2,2020.0,3100,40.0,1
17,40000,0,1,7.0,0,7,2002.0,111,14.0,1
17,13000000,2,1,1.0,2,0,2014.0,256,10.0,3
17,32500000,5,5,3.0,1,0,2076.0,126,13.0,1
17,26000000,11,9,3.0,1,1,2074.0,7600,13.0,1
17,24000000,7,8,4.0,1,5,2065.0,205,13.0,3
20,17700000,3,4,2.5,1,7,,4200,12.0,1
17,2200000,1,1,1.0,2,0,2016.0,699,10.0,3
17,16800000,5,5,3.0,1,2,2074.0,870,14.0,3
17,34000000,6,6,3.0,2,2,2076.0,280,30.0,1
17,22500000,5,5,3.0,1,5,2076.0,384,14.0,3
17,200000,5,4,3.0,2,0,2014.0,619,14.0,1
17,25000,3,1,1.0,4,0,,697,20.0,6
17,17000,2,1,4.0,0,4,2007.0,266,14.0,3
17,42500000,5,6,3.0,4,5,2071.0,204,14.0,3
17,790000,6,7,3.0,10,0,2065.0,454,24.0,1
17,41000000,7,3,2.5,1,1,2066.0,4500,10.0,1
17,1300000,0,0,,0,0,,716,0.0,6
17,15000000,3,3,,2,7,,879,4.0,6
20,37500000,8,6,4.0,1,3,2007.0,689,12.0,1
17,16000000,5,3,2.5,1,0,2076.0,7100,13.0,1
20,55000,2,1,,0,0,,276,0.0,6
20,75000,4,3,,2,0,,185,0.0,6
17,500000,22,4,,3,0,,175,0.0,6
22,500000,0,0,,0,4,,175,19.68504,4
17,15000000,4,4,3.0,2,7,2014.0,789,0.0,6
20,21500000,6,4,2.5,3,7,2076.0,17400,20.0,2
6,450000,0,0,,0,2,,162,0.0,6
17,23500000,0,0,3.0,0,2,2050.0,573,0.0,0
17,60000000,5,5,2.5,1,4,,4000,13.0,1
17,4200000,0,0,,1,1,,1700,13.0,1
17,4200000,0,0,,1,4,,1100,13.0,3
17,4500000,0,0,,0,4,,1100,20.0,1
17,4200000,0,0,,0,4,,1200,13.0,1
17,6000000,0,0,,1,1,,1900,26.0,1
17,8000000,0,0,,0,0,,1400,36.08924,1
